Номер закладной	Дата выдачи	Дата погашения	Текущий ОД	Ставка по кредиту	Кредит/Залог	Регион	Первоначальный ОД	Доходы заемщика	Образование	Продукт
0	2016-07-27	2026-07-25	126128.46	11.5	53.74	50	2419338.22	124523.71	5	0
1	2016-05-30	2029-03-18	932547.09	11.5	66.67	54	1100000.0	30321.35	3	0
2	2016-06-02	2026-05-25	786030.66	12.25	83.81	54	880000.0	27432.33	3	0
3	2016-06-02	2027-07-05	1642412.72	12.25	37.75	54	2000000.0	85238.83	6	0
4	2016-06-08	2024-02-17	469746.23	12.25	19.58	54	650000.0	26910.75	3	0
5	2016-06-03	2026-05-18	1429135.17	12.25	61.09	54	1600000.0	49436.34	3	0
6	2016-06-09	2031-06-05	1430896.4	12.25	68.18	42	1500000.0	54043.03	4	0
7	2016-06-10	2026-05-11	500926.29	12.5	31.82	55	560000.0	28545.24	5	0
8	2016-06-14	2031-05-13	1355048.48	12.25	73.85	54	2400000.0	57368.0	5	0
9	2016-06-23	2024-05-25	948765.71	11.5	51.86	54	1600000.0	84128.04	5	0
10	2016-06-27	2021-12-02	597313.27	12.25	80.0	54	1400000.0	38640.74	4	0
11	2016-06-29	2036-06-18	1270063.49	12.25	76.92	54	1300000.0	36442.21	4	0
12	2016-07-04	2025-06-05	738382.45	12.25	49.41	54	840000.0	30268.0	5	0
13	2016-06-27	2031-06-20	944367.41	12.25	34.74	54	990000.0	38571.4	3	0
14	2016-06-30	2018-04-13	0.0	12.25	78.75	54	2020000.0	80000.0	5	0
15	2016-06-30	2036-06-10	530781.61	12.25	71.02	54	1000000.0	28542.39	5	0
16	2016-07-27	2041-07-12	1254891.82	12.5	56.91	54	1269000.0	30773.72	4	0
17	2016-06-28	2031-06-17	953492.78	12.25	33.04	24	1000000.0	23176.75	3	0
18	2016-07-01	2021-05-27	672846.81	12.5	55.05	42	1000000.0	48189.9	5	0
19	2016-07-11	2031-11-05	1101087.29	11.5	79.62	54	1270000.0	41594.36	5	0
20	2016-07-21	2022-07-15	393468.52	12.25	31.73	54	500000.0	33230.19	5	0
21	2016-07-08	2034-06-12	722675.66	12.25	68.75	54	1100000.0	35635.03	5	0
22	2016-09-27	2018-10-15	115465.65	13.0	21.98	54	600000.0	59676.67	5	0
23	2016-11-15	2031-11-07	1678256.45	11.9	74.68	55	1740000.0	51451.52	5	0
24	2016-08-05	2029-09-16	1653128.78	11.5	72.4	54	1960000.0	86951.0	4	0
25	2016-07-19	2028-07-27	644895.52	11.5	61.17	54	1106000.0	39150.0	3	0
26	2016-05-25	2022-05-20	425299.49	11.5	69.86	54	2719500.0	284869.62	5	0
27	2016-07-18	2025-06-20	663163.53	12.25	39.25	54	800000.0	37447.36	5	0
28	2016-06-20	2031-05-27	1607111.7	11.5	78.9	54	2125600.0	60580.0	5	0
29	2016-12-21	2041-12-10	992241.18	11.9	82.0	54	1376000.0	42369.0	6	0
30	2016-11-03	2041-10-15	1432112.52	12.25	36.15	54	1446000.0	52000.0	5	0
31	2015-12-09	2040-11-16	736233.88	13.65	57.13	24	1200000.0	40618.2	5	0
32	2015-12-23	2035-12-15	1332843.59	13.65	58.14	54	1385000.0	38104.28	5	0
33	2015-12-28	2035-12-27	1803114.73	13.9	72.98	54	1850000.0	53781.34	5	0
34	2015-12-30	2030-12-27	893701.46	14.9	83.33	55	1400000.0	51224.29	3	0
35	2016-02-17	2036-01-25	494077.05	15.15	66.37	42	1800000.0	57250.49	3	0
36	2016-02-16	2029-02-10	484393.73	13.65	21.94	55	520000.0	23419.99	5	0
37	2016-02-11	2018-04-13	0.0	14.15	51.5	24	1000000.0	41481.5	3	0
38	2016-02-19	2041-01-22	1184017.45	13.9	71.96	54	1550000.0	52971.14	5	0
39	2016-03-15	2031-02-25	1239939.79	11.3	79.61	54	1320000.0	50000.0	4	0
40	2016-03-03	2031-02-15	1237490.03	13.95	52.93	54	1300000.0	71709.91	4	0
41	2017-01-17	2036-12-20	1740610.22	11.25	83.21	55	2230000.0	49468.08	5	0
42	2016-11-14	2026-10-15	896076.94	12.25	56.81	54	1380000.0	75000.0	3	0
43	2016-04-04	2036-03-10	2137934.34	12.0	78.04	54	2200000.0	55346.46	5	0
44	2016-04-14	2032-04-11	1314624.96	12.0	44.75	24	1990000.0	47000.0	5	0
45	2016-05-13	2027-12-27	1701096.33	11.5	57.86	54	1900000.0	49437.5	5	0
46	2016-05-06	2031-04-15	1784508.33	12.0	60.69	54	2300000.0	105420.81	5	0
47	2016-04-20	2031-03-22	1042896.14	14.0	52.42	24	1097460.98	40747.53	4	0
48	2016-04-22	2041-04-15	1976381.82	13.0	69.13	54	2000000.0	55780.17	6	0
49	2016-04-27	2031-04-02	1810589.33	12.25	82.19	54	2363000.0	78330.88	3	0
50	2016-05-11	2032-02-26	803481.82	12.25	61.94	42	900000.0	33125.0	5	0
51	2016-07-04	2037-06-15	1463088.3	11.5	79.99	54	2099000.0	31063.94	3	0
52	2016-05-20	2036-05-07	2159125.67	12.0	79.5	54	2215000.0	56087.79	5	0
53	2016-05-10	2031-04-20	901537.24	12.25	36.86	54	950000.0	37014.66	5	0
54	2016-05-12	2031-05-10	741216.83	11.5	66.38	70	1779000.0	62690.11	5	0
55	2016-05-06	2029-11-10	2709138.01	13.5	51.04	54	2925856.1	100887.13	5	0
56	2017-02-02	2030-01-27	1367060.89	11.9	66.62	54	1430298.62	150749.18	5	0
57	2016-07-21	2025-04-10	816298.96	12.25	76.79	54	3000000.0	89225.0	5	0
58	2016-07-22	2021-11-15	568587.56	12.25	30.52	54	1000000.0	60000.0	3	0
59	2016-10-26	2036-10-20	610936.85	12.25	75.03	54	1800000.0	78158.2	3	0
60	2016-10-20	2041-10-05	1927724.57	12.25	53.6	54	2400000.0	80611.86	5	0
61	2016-12-20	2036-12-20	703339.7	11.9	42.91	54	1150000.0	56550.0	5	0
62	2017-02-27	2032-02-14	1162064.7	11.9	44.31	54	1198118.0	36326.98	5	0
63	2016-11-02	2025-11-20	1192392.38	12.25	84.58	54	1700000.0	51161.19	3	0
64	2016-10-28	2025-08-25	1296500.0	12.9	55.48	54	1538009.61	65478.54	5	0
65	2016-11-09	2026-10-20	846362.05	12.5	79.31	55	920000.0	53076.37	5	0
66	2016-11-01	2027-05-15	2521017.72	11.9	81.43	54	3000000.0	79219.89	3	0
67	2016-11-03	2026-08-20	1220369.68	11.9	71.37	24	1650000.0	49081.05	5	0
68	2016-11-10	2031-10-25	1719648.19	12.9	62.31	54	1786399.06	71266.86	5	0
69	2016-11-02	2025-11-25	570762.41	12.25	55.17	42	1100000.0	66586.15	5	0
70	2016-11-02	2034-10-05	827550.41	11.9	29.34	54	849000.0	21276.19	3	0
71	2016-10-26	2026-09-27	1109404.51	12.9	71.87	54	1356935.18	84370.61	5	0
72	2016-11-17	2041-11-15	1185921.18	12.5	37.72	54	1196000.0	29512.13	5	0
73	2016-11-01	2024-10-13	897090.96	12.9	48.77	54	1337714.89	47693.74	4	0
74	2016-11-16	2023-01-12	631259.58	12.9	60.41	54	830000.0	37184.74	5	0
75	2016-11-16	2041-11-12	711576.88	11.5	48.42	54	719000.0	19319.66	5	0
76	2016-11-22	2036-11-20	1080340.48	11.9	68.32	55	1100000.0	30015.0	5	0
77	2016-11-03	2024-10-27	771616.01	12.9	52.68	55	874528.3	48254.2	5	0
78	2016-11-03	2031-10-22	531545.04	11.9	44.83	54	850000.0	81511.1	5	0
79	2016-11-11	2031-10-14	179186.65	11.9	27.76	54	1500000.0	46813.0	5	0
80	2016-11-14	2028-10-27	1810969.3	12.25	69.25	54	2000000.0	76518.7	5	0
81	2016-11-15	2021-01-11	309843.41	11.9	17.75	24	500000.0	47312.4	3	0
82	2016-11-25	2036-10-27	433580.46	12.25	77.47	55	1547000.0	45468.69	3	0
83	2016-11-16	2035-07-17	2496331.48	11.9	76.4	54	2600000.0	61412.0	5	0
84	2016-12-07	2031-11-25	2261993.4	11.9	70.59	54	2400000.0	64025.0	5	0
85	2016-11-29	2022-09-17	445653.97	11.9	62.11	55	1000000.0	25001.0	6	0
86	2016-10-19	2030-09-20	772574.59	12.9	42.35	54	2198372.8	71715.36	6	0
87	2016-10-21	2036-10-15	605772.74	12.25	77.32	54	1500000.0	68101.44	3	0
88	2016-07-29	2031-07-20	1147350.01	12.25	38.63	24	1200000.0	70000.0	3	0
